"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","CPI","TOT","AGRWTH","M","2008-05",2.855486,
"CHE","CPI","TOT","AGRWTH","M","2008-06",2.911753,
"CHE","CPI","TOT","AGRWTH","M","2008-07",3.074805,
"CHE","CPI","TOT","AGRWTH","M","2008-08",2.921371,
"CHE","CPI","TOT","AGRWTH","M","2008-09",2.927193,
"CHE","CPI","TOT","AGRWTH","M","2008-10",2.598034,
"CHE","CPI","TOT","AGRWTH","M","2008-11",1.45226,
"CHE","CPI","TOT","AGRWTH","M","2008-12",0.7009567,
"CHE","CPI","TOT","AGRWTH","M","2009-01",0.1391768,
"CHE","CPI","TOT","AGRWTH","M","2009-02",0.2374631,
"CHE","CPI","TOT","AGRWTH","M","2009-03",-0.4242028,
"CHE","CPI","TOT","AGRWTH","M","2009-04",-0.3337622,
"CHE","CPI","TOT","AGRWTH","M","2009-05",-0.9611959,
"CHE","CPI","TOT","AGRWTH","M","2009-06",-0.9510706,
"CHE","CPI","TOT","AGRWTH","M","2009-07",-1.177726,
"CHE","CPI","TOT","AGRWTH","M","2009-08",-0.8099313,
"CHE","CPI","TOT","AGRWTH","M","2009-09",-0.9225546,
"CHE","CPI","TOT","AGRWTH","M","2009-10",-0.8336845,
"CHE","CPI","TOT","AGRWTH","M","2009-11",0.0239202,
"CHE","CPI","TOT","AGRWTH","M","2009-12",0.2826455,
"CHE","CPI","TOT","AGRWTH","M","2010-01",1.023668,
"CHE","CPI","TOT","AGRWTH","M","2010-02",0.932771,
"CHE","CPI","TOT","AGRWTH","M","2010-03",1.399761,
"CHE","CPI","TOT","AGRWTH","M","2010-04",1.372681,
"CHE","CPI","TOT","AGRWTH","M","2010-05",1.106813,
"CHE","CPI","TOT","AGRWTH","M","2010-06",0.4862673,
"CHE","CPI","TOT","AGRWTH","M","2010-07",0.4185069,
"CHE","CPI","TOT","AGRWTH","M","2010-08",0.2934442,
"CHE","CPI","TOT","AGRWTH","M","2010-09",0.2830641,
"CHE","CPI","TOT","AGRWTH","M","2010-10",0.193953,
"CHE","CPI","TOT","AGRWTH","M","2010-11",0.2410146,
"CHE","CPI","TOT","AGRWTH","M","2010-12",0.5196002,
"CHE","CPI","TOT","AGRWTH","M","2011-01",0.2785081,
"CHE","CPI","TOT","AGRWTH","M","2011-02",0.5101517,
"CHE","CPI","TOT","AGRWTH","M","2011-03",1.004233,
"CHE","CPI","TOT","AGRWTH","M","2011-04",0.2588665,
"CHE","CPI","TOT","AGRWTH","M","2011-05",0.3690044,
"CHE","CPI","TOT","AGRWTH","M","2011-06",0.5643211,
"CHE","CPI","TOT","AGRWTH","M","2011-07",0.4720475,
"CHE","CPI","TOT","AGRWTH","M","2011-08",0.1922875,
"CHE","CPI","TOT","AGRWTH","M","2011-09",0.4857769,
"CHE","CPI","TOT","AGRWTH","M","2011-10",-0.1124856,
"CHE","CPI","TOT","AGRWTH","M","2011-11",-0.525737,
"CHE","CPI","TOT","AGRWTH","M","2011-12",-0.7146706,
"CHE","CPI","TOT","AGRWTH","M","2012-01",-0.7894753,
"CHE","CPI","TOT","AGRWTH","M","2012-02",-0.8835491,
"CHE","CPI","TOT","AGRWTH","M","2012-03",-0.9542716,
"CHE","CPI","TOT","AGRWTH","M","2012-04",-0.9895484,
"CHE","CPI","TOT","AGRWTH","M","2012-05",-1.013637,
"CHE","CPI","TOT","AGRWTH","M","2012-06",-1.053775,
"CHE","CPI","TOT","AGRWTH","M","2012-07",-0.7141451,
"CHE","CPI","TOT","AGRWTH","M","2012-08",-0.4530422,
"CHE","CPI","TOT","AGRWTH","M","2012-09",-0.4114558,
"CHE","CPI","TOT","AGRWTH","M","2012-10",-0.2221703,
"CHE","CPI","TOT","AGRWTH","M","2012-11",-0.3753399,
"CHE","CPI","TOT","AGRWTH","M","2012-12",-0.4344392,
"CHE","CPI","TOT","AGRWTH","M","2013-01",-0.2697197,
"CHE","CPI","TOT","AGRWTH","M","2013-02",-0.256093,
"CHE","CPI","TOT","AGRWTH","M","2013-03",-0.5936138,
"CHE","CPI","TOT","AGRWTH","M","2013-04",-0.6343876,
"CHE","CPI","TOT","AGRWTH","M","2013-05",-0.507384,
"CHE","CPI","TOT","AGRWTH","M","2013-06",-0.1278708,
"CHE","CPI","TOT","AGRWTH","M","2013-07",-0.002776002,
"CHE","CPI","TOT","AGRWTH","M","2013-08",-0.04462776,
"CHE","CPI","TOT","AGRWTH","M","2013-09",-0.05536425,
"CHE","CPI","TOT","AGRWTH","M","2013-10",-0.2552502,
"CHE","CPI","TOT","AGRWTH","M","2013-11",0.0797494,
"CHE","CPI","TOT","AGRWTH","M","2013-12",0.06711316,
"CHE","CPI","TOT","AGRWTH","M","2014-01",0.05444818,
"CHE","CPI","TOT","AGRWTH","M","2014-02",-0.1411284,
"CHE","CPI","TOT","AGRWTH","M","2014-03",0.002772876,
"CHE","CPI","TOT","AGRWTH","M","2014-04",0.03801521,
"CHE","CPI","TOT","AGRWTH","M","2014-05",0.2208195,
"CHE","CPI","TOT","AGRWTH","M","2014-06",0.04959362,
"CHE","CPI","TOT","AGRWTH","M","2014-07",0.0319249,
"CHE","CPI","TOT","AGRWTH","M","2014-08",0.07173394,
"CHE","CPI","TOT","AGRWTH","M","2014-09",-0.08764268,
"CHE","CPI","TOT","AGRWTH","M","2014-10",-0.01267142,
"CHE","CPI","TOT","AGRWTH","M","2014-11",-0.05860127,
"CHE","CPI","TOT","AGRWTH","M","2014-12",-0.3283958,
"CHE","CPI","TOT","AGRWTH","M","2015-01",-0.4852901,
"CHE","CPI","TOT","AGRWTH","M","2015-02",-0.8396187,
"CHE","CPI","TOT","AGRWTH","M","2015-03",-0.87462,
"CHE","CPI","TOT","AGRWTH","M","2015-04",-1.122606,
"CHE","CPI","TOT","AGRWTH","M","2015-05",-1.181885,
"CHE","CPI","TOT","AGRWTH","M","2015-06",-1.037296,
"CHE","CPI","TOT","AGRWTH","M","2015-07",-1.275994,
"CHE","CPI","TOT","AGRWTH","M","2015-08",-1.402519,
"CHE","CPI","TOT","AGRWTH","M","2015-09",-1.44361,
"CHE","CPI","TOT","AGRWTH","M","2015-10",-1.359875,
"CHE","CPI","TOT","AGRWTH","M","2015-11",-1.392497,
"CHE","CPI","TOT","AGRWTH","M","2015-12",-1.308355,
"CHE","CPI","TOT","AGRWTH","M","2016-01",-1.266628,
"CHE","CPI","TOT","AGRWTH","M","2016-02",-0.8284864,
"CHE","CPI","TOT","AGRWTH","M","2016-03",-0.8607582,
"CHE","CPI","TOT","AGRWTH","M","2016-04",-0.351995,
"CHE","CPI","TOT","AGRWTH","M","2016-05",-0.4399454,
"CHE","CPI","TOT","AGRWTH","M","2016-06",-0.3740681,
"CHE","CPI","TOT","AGRWTH","M","2016-07",-0.2028984,
"CHE","CPI","TOT","AGRWTH","M","2016-08",-0.1430916,
"CHE","CPI","TOT","AGRWTH","M","2016-09",-0.1815248,
"CHE","CPI","TOT","AGRWTH","M","2016-10",-0.2127907,
"CHE","CPI","TOT","AGRWTH","M","2016-11",-0.3381996,
"CHE","CPI","TOT","AGRWTH","M","2016-12",-0.006757602,
"CHE","CPI","TOT","AGRWTH","M","2017-01",0.3489182,
"CHE","CPI","TOT","AGRWTH","M","2017-02",0.6460109,
"CHE","CPI","TOT","AGRWTH","M","2017-03",0.5678371,
"CHE","CPI","TOT","AGRWTH","M","2017-04",0.4378066,
"CHE","CPI","TOT","AGRWTH","M","2017-05",0.4793989,
"CHE","CPI","TOT","AGRWTH","M","2017-06",0.1972007,
"CHE","CPI","TOT","AGRWTH","M","2017-07",0.3292611,
"CHE","CPI","TOT","AGRWTH","M","2017-08",0.4627182,
"CHE","CPI","TOT","AGRWTH","M","2017-09",0.6520411,
"CHE","CPI","TOT","AGRWTH","M","2017-10",0.6609573,
"CHE","CPI","TOT","AGRWTH","M","2017-11",0.7870397,
"CHE","CPI","TOT","AGRWTH","M","2017-12",0.8387053,
"CHE","CPI","TOT","AGRWTH","M","2018-01",0.7402101,
"CHE","CPI","TOT","AGRWTH","M","2018-02",0.6281072,
"CHE","CPI","TOT","AGRWTH","M","2018-03",0.7953932,
"CHE","CPI","TOT","AGRWTH","M","2018-04",0.8031968,
"CHE","CPI","TOT","AGRWTH","M","2018-05",0.9992394,
"CHE","CPI","TOT","AGRWTH","M","2018-06",1.146591,
"CHE","CPI","TOT","AGRWTH","M","2018-07",1.230301,
"CHE","CPI","TOT","AGRWTH","M","2018-08",1.181087,
"CHE","CPI","TOT","AGRWTH","M","2018-09",0.9894733,
"CHE","CPI","TOT","AGRWTH","M","2018-10",1.106587,
"CHE","CPI","TOT","AGRWTH","M","2018-11",0.9219926,
"CHE","CPI","TOT","AGRWTH","M","2018-12",0.6914908,
"CHE","CPI","TOT","AGRWTH","M","2019-01",0.5600928,
"CHE","CPI","TOT","AGRWTH","M","2019-02",0.5785826,
"CHE","CPI","TOT","AGRWTH","M","2019-03",0.7290729,
"CHE","CPI","TOT","AGRWTH","M","2019-04",0.7080104,
"CHE","CPI","TOT","AGRWTH","M","2019-05",0.6342693,
"CHE","CPI","TOT","AGRWTH","M","2019-06",0.600248,
"CHE","CPI","TOT","AGRWTH","M","2019-07",0.3118107,
"CHE","CPI","TOT","AGRWTH","M","2019-08",0.3179044,
"CHE","CPI","TOT","AGRWTH","M","2019-09",0.1483133,
"CHE","CPI","TOT","AGRWTH","M","2019-10",-0.253111,
"CHE","CPI","TOT","AGRWTH","M","2019-11",-0.1311894,
"CHE","CPI","TOT","AGRWTH","M","2019-12",0.1557662,
"CHE","CPI","TOT","AGRWTH","M","2020-01",0.2022912,
"CHE","CPI","TOT","AGRWTH","M","2020-02",-0.06220843,
"CHE","CPI","TOT","AGRWTH","M","2020-03",-0.5151643,
"CHE","CPI","TOT","AGRWTH","M","2020-04",-1.062972,
"CHE","CPI","TOT","AGRWTH","M","2020-05",-1.324572,
"CHE","CPI","TOT","AGRWTH","M","2020-06",-1.274768,
"CHE","CPI","TOT","AGRWTH","M","2020-07",-0.9198853,
"CHE","CPI","TOT","AGRWTH","M","2020-08",-0.8661587,
"CHE","CPI","TOT","AGRWTH","M","2020-09",-0.7998837,
"CHE","CPI","TOT","AGRWTH","M","2020-10",-0.5703256,
"CHE","CPI","TOT","AGRWTH","M","2020-11",-0.6847875,
"CHE","CPI","TOT","AGRWTH","M","2020-12",-0.8138226,
"CHE","CPI","TOT","AGRWTH","M","2021-01",-0.5443183,
"CHE","CPI","TOT","AGRWTH","M","2021-02",-0.5040331,
"CHE","CPI","TOT","AGRWTH","M","2021-03",-0.2452262,
"OECD","CPI","TOT","AGRWTH","M","2000-06",4.267348,
"OECD","CPI","TOT","AGRWTH","M","2000-07",4.277133,
"OECD","CPI","TOT","AGRWTH","M","2000-08",4.046543,
"OECD","CPI","TOT","AGRWTH","M","2000-09",4.049074,
"OECD","CPI","TOT","AGRWTH","M","2000-10",3.896193,
"OECD","CPI","TOT","AGRWTH","M","2000-11",3.908475,
"OECD","CPI","TOT","AGRWTH","M","2000-12",3.759229,
"OECD","CPI","TOT","AGRWTH","M","2001-01",3.775553,
"OECD","CPI","TOT","AGRWTH","M","2001-02",3.648681,
"OECD","CPI","TOT","AGRWTH","M","2001-03",3.421665,
"OECD","CPI","TOT","AGRWTH","M","2001-04",3.928262,
"OECD","CPI","TOT","AGRWTH","M","2001-05",4.266015,
"OECD","CPI","TOT","AGRWTH","M","2001-06",4.076713,
"OECD","CPI","TOT","AGRWTH","M","2001-07",3.675776,
"OECD","CPI","TOT","AGRWTH","M","2001-08",3.715189,
"OECD","CPI","TOT","AGRWTH","M","2001-09",3.636141,
"OECD","CPI","TOT","AGRWTH","M","2001-10",3.466129,
"OECD","CPI","TOT","AGRWTH","M","2001-11",3.22239,
"OECD","CPI","TOT","AGRWTH","M","2001-12",3.097482,
"OECD","CPI","TOT","AGRWTH","M","2002-01",3.104449,
"OECD","CPI","TOT","AGRWTH","M","2002-02",3.017975,
"OECD","CPI","TOT","AGRWTH","M","2002-03",3.112865,
"OECD","CPI","TOT","AGRWTH","M","2002-04",2.944938,
"OECD","CPI","TOT","AGRWTH","M","2002-05",2.548218,
"OECD","CPI","TOT","AGRWTH","M","2002-06",2.398574,
"OECD","CPI","TOT","AGRWTH","M","2002-07",2.565438,
"OECD","CPI","TOT","AGRWTH","M","2002-08",2.691719,
"OECD","CPI","TOT","AGRWTH","M","2002-09",2.524624,
"OECD","CPI","TOT","AGRWTH","M","2002-10",2.694628,
"OECD","CPI","TOT","AGRWTH","M","2002-11",2.829925,
"OECD","CPI","TOT","AGRWTH","M","2002-12",2.853866,
"OECD","CPI","TOT","AGRWTH","M","2003-01",2.833151,
"OECD","CPI","TOT","AGRWTH","M","2003-02",3.085502,
"OECD","CPI","TOT","AGRWTH","M","2003-03",3.136414,
"OECD","CPI","TOT","AGRWTH","M","2003-04",2.599667,
"OECD","CPI","TOT","AGRWTH","M","2003-05",2.402101,
"OECD","CPI","TOT","AGRWTH","M","2003-06",2.394688,
"OECD","CPI","TOT","AGRWTH","M","2003-07",2.354004,
"OECD","CPI","TOT","AGRWTH","M","2003-08",2.334394,
"OECD","CPI","TOT","AGRWTH","M","2003-09",2.370861,
"OECD","CPI","TOT","AGRWTH","M","2003-10",2.182745,
"OECD","CPI","TOT","AGRWTH","M","2003-11",2.0055,
"OECD","CPI","TOT","AGRWTH","M","2003-12",2.015398,
"OECD","CPI","TOT","AGRWTH","M","2004-01",1.935299,
"OECD","CPI","TOT","AGRWTH","M","2004-02",1.788249,
"OECD","CPI","TOT","AGRWTH","M","2004-03",1.756876,
"OECD","CPI","TOT","AGRWTH","M","2004-04",2.086973,
"OECD","CPI","TOT","AGRWTH","M","2004-05",2.554662,
"OECD","CPI","TOT","AGRWTH","M","2004-06",2.706512,
"OECD","CPI","TOT","AGRWTH","M","2004-07",2.609657,
"OECD","CPI","TOT","AGRWTH","M","2004-08",2.483194,
"OECD","CPI","TOT","AGRWTH","M","2004-09",2.369771,
"OECD","CPI","TOT","AGRWTH","M","2004-10",2.789829,
"OECD","CPI","TOT","AGRWTH","M","2004-11",2.935654,
"OECD","CPI","TOT","AGRWTH","M","2004-12",2.755672,
"OECD","CPI","TOT","AGRWTH","M","2005-01",2.503635,
"OECD","CPI","TOT","AGRWTH","M","2005-02",2.505313,
"OECD","CPI","TOT","AGRWTH","M","2005-03",2.593451,
"OECD","CPI","TOT","AGRWTH","M","2005-04",2.725885,
"OECD","CPI","TOT","AGRWTH","M","2005-05",2.370897,
"OECD","CPI","TOT","AGRWTH","M","2005-06",2.192151,
"OECD","CPI","TOT","AGRWTH","M","2005-07",2.541589,
"OECD","CPI","TOT","AGRWTH","M","2005-08",2.726258,
"OECD","CPI","TOT","AGRWTH","M","2005-09",3.258799,
"OECD","CPI","TOT","AGRWTH","M","2005-10",2.995201,
"OECD","CPI","TOT","AGRWTH","M","2005-11",2.547837,
"OECD","CPI","TOT","AGRWTH","M","2005-12",2.589997,
"OECD","CPI","TOT","AGRWTH","M","2006-01",2.95954,
"OECD","CPI","TOT","AGRWTH","M","2006-02",2.754468,
"OECD","CPI","TOT","AGRWTH","M","2006-03",2.572699,
"OECD","CPI","TOT","AGRWTH","M","2006-04",2.778384,
"OECD","CPI","TOT","AGRWTH","M","2006-05",3.108237,
"OECD","CPI","TOT","AGRWTH","M","2006-06",3.221935,
"OECD","CPI","TOT","AGRWTH","M","2006-07",3.149123,
"OECD","CPI","TOT","AGRWTH","M","2006-08",3.054643,
"OECD","CPI","TOT","AGRWTH","M","2006-09",2.168777,
"OECD","CPI","TOT","AGRWTH","M","2006-10",1.747623,
"OECD","CPI","TOT","AGRWTH","M","2006-11",2.087021,
"OECD","CPI","TOT","AGRWTH","M","2006-12",2.347445,
"OECD","CPI","TOT","AGRWTH","M","2007-01",2.079882,
"OECD","CPI","TOT","AGRWTH","M","2007-02",2.25363,
"OECD","CPI","TOT","AGRWTH","M","2007-03",2.496445,
"OECD","CPI","TOT","AGRWTH","M","2007-04",2.406097,
"OECD","CPI","TOT","AGRWTH","M","2007-05",2.386608,
"OECD","CPI","TOT","AGRWTH","M","2007-06",2.368886,
"OECD","CPI","TOT","AGRWTH","M","2007-07",2.184523,
"OECD","CPI","TOT","AGRWTH","M","2007-08",1.969259,
"OECD","CPI","TOT","AGRWTH","M","2007-09",2.405925,
"OECD","CPI","TOT","AGRWTH","M","2007-10",2.969433,
"OECD","CPI","TOT","AGRWTH","M","2007-11",3.504698,
"OECD","CPI","TOT","AGRWTH","M","2007-12",3.454658,
"OECD","CPI","TOT","AGRWTH","M","2008-01",3.61164,
"OECD","CPI","TOT","AGRWTH","M","2008-02",3.575252,
"OECD","CPI","TOT","AGRWTH","M","2008-03",3.650766,
"OECD","CPI","TOT","AGRWTH","M","2008-04",3.586805,
"OECD","CPI","TOT","AGRWTH","M","2008-05",3.953634,
"OECD","CPI","TOT","AGRWTH","M","2008-06",4.507506,
"OECD","CPI","TOT","AGRWTH","M","2008-07",4.911242,
"OECD","CPI","TOT","AGRWTH","M","2008-08",4.757659,
"OECD","CPI","TOT","AGRWTH","M","2008-09",4.503356,
"OECD","CPI","TOT","AGRWTH","M","2008-10",3.76209,
"OECD","CPI","TOT","AGRWTH","M","2008-11",2.3053,
"OECD","CPI","TOT","AGRWTH","M","2008-12",1.601587,
"OECD","CPI","TOT","AGRWTH","M","2009-01",1.35405,
"OECD","CPI","TOT","AGRWTH","M","2009-02",1.403532,
"OECD","CPI","TOT","AGRWTH","M","2009-03",0.9453698,
"OECD","CPI","TOT","AGRWTH","M","2009-04",0.6858572,
"OECD","CPI","TOT","AGRWTH","M","2009-05",0.1431991,
"OECD","CPI","TOT","AGRWTH","M","2009-06",-0.08252073,
"OECD","CPI","TOT","AGRWTH","M","2009-07",-0.598313,
"OECD","CPI","TOT","AGRWTH","M","2009-08",-0.2709815,
"OECD","CPI","TOT","AGRWTH","M","2009-09",-0.2751,
"OECD","CPI","TOT","AGRWTH","M","2009-10",0.2101146,
"OECD","CPI","TOT","AGRWTH","M","2009-11",1.26738,
"OECD","CPI","TOT","AGRWTH","M","2009-12",1.820912,
"OECD","CPI","TOT","AGRWTH","M","2010-01",2.041509,
"OECD","CPI","TOT","AGRWTH","M","2010-02",1.874539,
"OECD","CPI","TOT","AGRWTH","M","2010-03",2.042478,
"OECD","CPI","TOT","AGRWTH","M","2010-04",2.07046,
"OECD","CPI","TOT","AGRWTH","M","2010-05",1.939362,
"OECD","CPI","TOT","AGRWTH","M","2010-06",1.45537,
"OECD","CPI","TOT","AGRWTH","M","2010-07",1.57195,
"OECD","CPI","TOT","AGRWTH","M","2010-08",1.512144,
"OECD","CPI","TOT","AGRWTH","M","2010-09",1.627382,
"OECD","CPI","TOT","AGRWTH","M","2010-10",1.777315,
"OECD","CPI","TOT","AGRWTH","M","2010-11",1.720263,
"OECD","CPI","TOT","AGRWTH","M","2010-12",1.962865,
"OECD","CPI","TOT","AGRWTH","M","2011-01",2.041493,
"OECD","CPI","TOT","AGRWTH","M","2011-02",2.263609,
"OECD","CPI","TOT","AGRWTH","M","2011-03",2.555228,
"OECD","CPI","TOT","AGRWTH","M","2011-04",2.787186,
"OECD","CPI","TOT","AGRWTH","M","2011-05",3.03394,
"OECD","CPI","TOT","AGRWTH","M","2011-06",2.995728,
"OECD","CPI","TOT","AGRWTH","M","2011-07",3.071945,
"OECD","CPI","TOT","AGRWTH","M","2011-08",3.157571,
"OECD","CPI","TOT","AGRWTH","M","2011-09",3.209913,
"OECD","CPI","TOT","AGRWTH","M","2011-10",3.075803,
"OECD","CPI","TOT","AGRWTH","M","2011-11",3.075511,
"OECD","CPI","TOT","AGRWTH","M","2011-12",2.846797,
"OECD","CPI","TOT","AGRWTH","M","2012-01",2.788923,
"OECD","CPI","TOT","AGRWTH","M","2012-02",2.786227,
"OECD","CPI","TOT","AGRWTH","M","2012-03",2.642625,
"OECD","CPI","TOT","AGRWTH","M","2012-04",2.4494,
"OECD","CPI","TOT","AGRWTH","M","2012-05",2.059768,
"OECD","CPI","TOT","AGRWTH","M","2012-06",1.997192,
"OECD","CPI","TOT","AGRWTH","M","2012-07",1.880381,
"OECD","CPI","TOT","AGRWTH","M","2012-08",2.055516,
"OECD","CPI","TOT","AGRWTH","M","2012-09",2.21007,
"OECD","CPI","TOT","AGRWTH","M","2012-10",2.231686,
"OECD","CPI","TOT","AGRWTH","M","2012-11",1.93285,
"OECD","CPI","TOT","AGRWTH","M","2012-12",1.857345,
"OECD","CPI","TOT","AGRWTH","M","2013-01",1.721393,
"OECD","CPI","TOT","AGRWTH","M","2013-02",1.808775,
"OECD","CPI","TOT","AGRWTH","M","2013-03",1.570384,
"OECD","CPI","TOT","AGRWTH","M","2013-04",1.259836,
"OECD","CPI","TOT","AGRWTH","M","2013-05",1.487998,
"OECD","CPI","TOT","AGRWTH","M","2013-06",1.80114,
"OECD","CPI","TOT","AGRWTH","M","2013-07",1.958707,
"OECD","CPI","TOT","AGRWTH","M","2013-08",1.6944,
"OECD","CPI","TOT","AGRWTH","M","2013-09",1.489347,
"OECD","CPI","TOT","AGRWTH","M","2013-10",1.297858,
"OECD","CPI","TOT","AGRWTH","M","2013-11",1.469927,
"OECD","CPI","TOT","AGRWTH","M","2013-12",1.641182,
